order_id,user_id,product
1,2867,laptop
2,7712,smartphone
3,1070,smartphone
4,277,watch
5,3991,smartphone
6,8913,apple
7,648,watch
8,5475,watch
9,1373,apple
10,3938,watch
11,3012,pear
12,819,watch
13,9606,laptop
14,8452,smartphone
15,606,watch
16,6474,watch
17,8135,watch
18,8608,apple
19,4597,apple
20,8418,tv
21,4682,laptop
22,385,laptop
23,30,laptop
24,5414,laptop
25,8624,pear
26,416,tv
27,9945,watch
28,9241,smartphone
29,6656,smartphone
30,7980,laptop
31,6686,pear
32,7654,smartphone
33,9423,pear
34,6000,laptop
35,4236,apple
36,750,tv
37,3465,laptop
38,2836,smartphone
39,402,laptop
40,4022,pear
41,6475,pear
42,4491,pear
43,2156,tv
44,9465,tv
45,1227,laptop
46,8287,apple
47,4454,pear
48,7426,pear
49,1920,laptop
50,5165,pear
51,6792,tv
52,6168,watch
53,4189,pear
54,5662,apple
55,7062,tv
56,1528,watch
57,3947,watch
58,8033,apple
59,6016,watch
60,3936,smartphone
61,101,laptop
62,2856,tv
63,7426,tv
64,5996,laptop
65,494,apple
66,4099,smartphone
67,183,pear
68,8649,watch
69,5575,tv
70,7073,laptop
71,9934,laptop
72,2496,laptop
73,6890,watch
74,4554,smartphone
75,7041,laptop
76,9594,apple
77,396,smartphone
78,3932,apple
79,4179,apple
80,5205,watch
81,742,laptop
82,9806,apple
83,2255,smartphone
84,1433,apple
85,9781,apple
86,3158,apple
87,6129,tv
88,570,apple
89,2910,tv
90,7163,tv
91,8391,tv
92,2617,watch
93,6498,apple
94,8615,smartphone
95,8305,tv
96,5056,pear
97,3982,tv
98,9032,pear
99,9452,smartphone
100,4921,smartphone
101,5166,watch
102,474,laptop
103,1272,apple
104,1690,laptop
105,2301,apple
106,5243,smartphone
107,950,tv
108,3855,tv
109,718,smartphone
110,7556,apple
111,1808,smartphone
112,4310,apple
113,9169,apple
114,8281,tv
115,8711,pear
116,686,pear
117,4095,tv
118,8307,smartphone
119,5757,pear
120,11,apple
121,6763,tv
122,2455,tv
123,2887,laptop
124,9112,pear
125,1061,apple
126,7804,pear
127,1550,smartphone
128,689,pear
129,2459,laptop
130,9216,smartphone
131,6927,apple
132,9154,laptop
133,2281,apple
134,9371,pear
135,1938,tv
136,3402,pear
137,4093,pear
138,2525,pear
139,9977,pear
140,701,smartphone
141,5237,apple
142,285,apple
143,4441,apple
144,8600,pear
145,318,smartphone
146,5332,tv
147,6651,pear
148,1217,pear
149,5247,pear
150,6586,smartphone
151,9947,laptop
152,6344,pear
153,6034,tv
154,9452,laptop
155,6703,watch
156,3074,smartphone
157,2213,laptop
158,5222,watch
159,3130,tv
160,9880,laptop
161,3181,tv
162,2004,watch
163,2322,laptop
164,7003,pear
165,4208,pear
166,1921,pear
167,9058,watch
168,2525,smartphone
169,8513,pear
170,9077,pear
171,3044,apple
172,2450,laptop
173,2108,tv
174,5892,tv
175,2447,tv
176,2044,laptop
177,143,laptop
178,2412,tv
179,9932,tv
180,8067,watch
181,7,smartphone
182,9932,apple
183,7441,pear
184,2885,watch
185,2359,apple
186,211,tv
187,3992,smartphone
188,1277,watch
189,6998,laptop
190,5512,apple
191,4822,watch
192,8835,tv
193,5959,smartphone
194,1894,pear
195,361,laptop
196,8359,smartphone
197,4519,smartphone
198,9111,watch
199,9312,apple
200,1811,watch
201,6299,tv
202,4185,smartphone
203,4963,watch
204,8205,tv
205,7061,smartphone
206,319,laptop
207,7838,tv
208,5177,laptop
209,2397,pear
210,2799,tv
211,6600,watch
212,2973,laptop
213,6324,laptop
214,6451,watch
215,1523,laptop
216,1181,laptop
217,4810,smartphone
218,2833,laptop
219,4942,watch
220,7072,laptop
221,3897,pear
222,7850,tv
223,3585,apple
224,2497,tv
225,4801,watch
226,1678,watch
227,9177,pear
228,3137,laptop
229,152,apple
230,1467,tv
231,4657,pear
232,3807,apple
233,3080,smartphone
234,2335,watch
235,2260,smartphone
236,5378,tv
237,5351,pear
238,4292,smartphone
239,6262,watch
240,7385,smartphone
241,2550,laptop
242,9458,laptop
243,3039,tv
244,8210,watch
245,1548,watch
246,7170,smartphone
247,5932,laptop
248,8950,tv
249,2325,pear
250,3678,tv
251,4176,tv
252,1720,laptop
253,3500,apple
254,1434,apple
255,7448,apple
256,4505,smartphone
257,2815,watch
258,7276,laptop
259,2268,smartphone
260,9795,smartphone
261,6793,pear
262,8032,smartphone
263,535,pear
264,6830,tv
265,8781,pear
266,6610,apple
267,5802,watch
268,9225,tv
269,4802,watch
270,3039,apple
271,2343,tv
272,2315,smartphone
273,524,pear
274,9138,apple
275,6656,apple
276,2583,pear
277,480,smartphone
278,4390,tv
279,1908,tv
280,5280,watch
281,2025,smartphone
282,242,watch
283,931,laptop
284,2961,tv
285,992,laptop
286,915,smartphone
287,6553,laptop
288,4267,watch
289,8636,tv
290,382,laptop
291,2816,apple
292,851,laptop
293,5083,laptop
294,9667,watch
295,2559,apple
296,2866,pear
297,7003,apple
298,7766,apple
299,8825,watch
300,5485,tv
301,349,pear
302,8368,pear
303,3062,apple
304,9294,apple
305,4834,apple
306,6894,tv
307,3702,tv
308,781,apple
309,7139,laptop
310,9561,watch
311,4807,watch
312,9942,smartphone
313,3545,apple
314,2339,pear
315,9962,laptop
316,1185,smartphone
317,5783,watch
318,5051,tv
319,3812,watch
320,1274,smartphone
321,1831,pear
322,5680,pear
323,4523,laptop
324,8594,apple
325,6205,watch
326,7573,smartphone
327,4789,watch
328,4163,tv
329,2508,pear
330,9091,tv
331,6298,laptop
332,8217,apple
333,7121,laptop
334,7984,tv
335,150,laptop
336,9957,smartphone
337,318,smartphone
338,8916,laptop
339,1145,laptop
340,1654,pear
341,2251,laptop
342,9153,smartphone
343,8333,smartphone
344,7043,watch
345,6258,tv
346,4206,watch
347,9146,pear
348,8762,pear
349,6967,laptop
350,4098,watch
351,7906,watch
352,603,watch
353,7902,smartphone
354,8680,laptop
355,2926,apple
356,4222,apple
357,2835,apple
358,1122,watch
359,9722,smartphone
360,4752,apple
361,9156,pear
362,5785,tv
363,890,watch
364,2069,pear
365,5262,apple
366,1364,watch
367,2847,apple
368,5848,apple
369,4645,apple
370,3678,laptop
371,2219,apple
372,155,tv
373,3956,smartphone
374,5724,laptop
375,2622,apple
376,7427,laptop
377,6076,pear
378,6199,laptop
379,7934,laptop
380,7004,tv
381,9554,pear
382,9650,tv
383,1677,watch
384,9112,smartphone
385,2563,laptop
386,1516,tv
387,4283,apple
388,373,apple
389,5424,apple
390,9817,laptop
391,7116,pear
392,3374,pear
393,56,tv
394,2424,pear
395,640,laptop
396,1842,tv
397,1603,pear
398,3146,smartphone
399,8805,pear
400,1050,tv
401,2542,smartphone
402,9816,tv
403,5861,watch
404,1714,tv
405,349,smartphone
406,8821,laptop
407,8308,smartphone
408,347,tv
409,3843,smartphone
410,9310,watch
411,8836,pear
412,8102,watch
413,7637,pear
414,2402,pear
415,3671,pear
416,5030,watch
417,4537,tv
418,5655,pear
419,4258,pear
420,7175,apple
421,610,laptop
422,3180,laptop
423,7322,laptop
424,1378,laptop
425,8930,apple
426,7312,pear
427,5272,watch
428,9288,apple
429,9964,apple
430,9616,laptop
431,842,pear
432,4013,smartphone
433,6290,apple
434,8720,laptop
435,6916,pear
436,5546,watch
437,6069,laptop
438,5042,tv
439,1402,laptop
440,1693,watch
441,7265,tv
442,8716,apple
443,6050,tv
444,9213,laptop
445,4942,pear
446,5171,smartphone
447,6584,smartphone
448,8541,smartphone
449,1980,pear
450,8633,watch
451,8064,watch
452,5250,laptop
453,9824,apple
454,4543,apple
455,159,apple
456,7397,watch
457,2986,pear
458,4140,laptop
459,8548,watch
460,2786,tv
461,2816,smartphone
462,6475,pear
463,6795,laptop
464,2880,apple
465,7298,tv
466,7969,pear
467,1878,watch
468,8273,laptop
469,6294,smartphone
470,3312,apple
471,2787,laptop
472,4448,pear
473,8019,pear
474,6263,watch
475,9662,watch
476,2766,laptop
477,3639,laptop
478,2560,smartphone
479,6411,watch
480,6464,watch
481,832,apple
482,8808,laptop
483,3352,smartphone
484,9862,pear
485,2418,smartphone
486,7981,apple
487,8533,smartphone
488,5265,smartphone
489,2474,laptop
490,7040,apple
491,793,apple
492,3577,pear
493,4068,watch
494,4626,laptop
495,9496,watch
496,2454,pear
497,2737,tv
498,7251,smartphone
499,7477,watch
500,8463,watch
501,4301,apple
502,22,apple
503,9041,tv
504,5697,laptop
505,8506,apple
506,8255,tv
507,5043,apple
508,6372,watch
509,7504,pear
510,2982,tv
511,3487,laptop
512,4827,pear
513,4831,laptop
514,2459,watch
515,5564,smartphone
516,8317,pear
517,7376,smartphone
518,7354,watch
519,39,watch
520,6723,watch
521,7669,laptop
522,7750,pear
523,7638,apple
524,5773,smartphone
525,2082,apple
526,8017,laptop
527,2168,smartphone
528,7156,tv
529,3039,smartphone
530,4264,apple
531,9443,pear
532,3166,smartphone
533,9323,watch
534,9732,tv
535,4949,laptop
536,6968,watch
537,2820,pear
538,4275,smartphone
539,6968,watch
540,5568,tv
541,7981,apple
542,9963,watch
543,9733,laptop
544,6122,smartphone
545,730,smartphone
546,6253,laptop
547,9653,tv
548,150,tv
549,5633,tv
550,7739,smartphone
551,799,apple
552,9726,pear
553,3518,tv
554,9102,watch
555,2721,apple
556,4298,tv
557,8361,pear
558,8481,apple
559,3135,tv
560,3872,pear
561,4306,smartphone
562,7037,smartphone
563,1213,tv
564,2,tv
565,3208,smartphone
566,3190,tv
567,3502,pear
568,9880,apple
569,1712,apple
570,7863,tv
571,1914,laptop
572,546,smartphone
573,7356,laptop
574,5499,laptop
575,9198,tv
576,7028,tv
577,9278,tv
578,2456,pear
579,1028,laptop
580,1687,watch
581,8924,smartphone
582,7452,pear
583,3414,tv
584,7044,apple
585,9773,laptop
586,964,watch
587,6961,smartphone
588,1299,laptop
589,5879,tv
590,2243,laptop
591,5147,apple
592,7422,apple
593,9838,watch
594,2192,apple
595,3840,tv
596,2647,pear
597,2932,smartphone
598,2217,watch
599,1587,tv
600,3284,pear
601,3266,smartphone
602,8918,pear
603,8315,smartphone
604,2193,tv
605,3302,apple
606,5608,pear
607,650,laptop
608,9499,watch
609,8932,tv
610,6559,tv
611,5047,watch
612,6097,laptop
613,3167,tv
614,2366,smartphone
615,3726,watch
616,3697,smartphone
617,8116,watch
618,3766,smartphone
619,50,apple
620,8551,apple
621,8861,smartphone
622,4808,smartphone
623,4177,laptop
624,742,laptop
625,4058,tv
626,3177,tv
627,2952,pear
628,6024,pear
629,2539,pear
630,3420,tv
631,1353,smartphone
632,7743,pear
633,8628,laptop
634,4472,laptop
635,4368,tv
636,7006,tv
637,4671,apple
638,6679,watch
639,8809,watch
640,6050,tv
641,155,smartphone
642,8363,laptop
643,698,apple
644,6162,tv
645,7295,watch
646,2391,laptop
647,4194,smartphone
648,4624,apple
649,7256,tv
650,770,laptop
651,7009,laptop
652,6357,laptop
653,6610,pear
654,9517,apple
655,433,apple
656,9504,apple
657,2162,smartphone
658,9495,tv
659,74,smartphone
660,8782,apple
661,8290,apple
662,6401,pear
663,5321,watch
664,861,laptop
665,8959,tv
666,8476,apple
667,7008,tv
668,3957,smartphone
669,7042,apple
670,5101,apple
671,3157,smartphone
672,6327,laptop
673,4688,smartphone
674,7531,apple
675,4714,smartphone
676,6799,apple
677,5756,watch
678,390,smartphone
679,7668,tv
680,465,smartphone
681,6958,laptop
682,7445,tv
683,7805,tv
684,9197,tv
685,5101,laptop
686,6389,smartphone
687,5532,apple
688,1551,tv
689,3488,apple
690,4294,apple
691,8615,tv
692,7637,watch
693,6071,pear
694,3210,tv
695,4168,watch
696,7062,apple
697,9194,laptop
698,5148,smartphone
699,9553,tv
700,5612,apple
701,1113,pear
702,8321,smartphone
703,9515,pear
704,4202,watch
705,5110,watch
706,2068,apple
707,6350,tv
708,7124,smartphone
709,3847,smartphone
710,4692,laptop
711,8271,tv
712,6509,tv
713,2085,smartphone
714,5870,watch
715,6283,smartphone
716,9188,tv
717,4927,laptop
718,1521,laptop
719,2797,pear
720,5275,smartphone
721,3679,tv
